Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
NGZ15.NYM,Natural Gas Dec 1,$4.53 ,6,$4.53 ,$4.51 ,15-Mar-13,12:42pm,$4.50 
NGF16.NYM,Natural Gas Jan 1,$4.60 ,2,$4.60 ,$4.60 ,15-Mar-13,12:42pm,$4.60 
NGH16.NYM,Natural Gas Mar 1,$4.50 ,1,$4.50 ,$4.50 ,15-Mar-13,12:42pm,$4.50 
NGJ16.NYM,Natural Gas Apr 1,$4.28 ,20,$4.28 ,$4.28 ,15-Mar-13,12:42pm,$4.28 
NGJ17.NYM,Natural Gas Apr 1,$4.45 ,10,N/A,N/A,15-Mar-13,12:42pm,$4.44 
NGK18.NYM,Natural Gas May 1,$4.71 ,2,N/A,N/A,15-Mar-13,7:23am,$4.67 
NGJ20.NYM,Natural Gas Apr 2,$5.22 ,0,N/A,N/A,15-Mar-13,12:42pm,$5.20 
RBJ13.NYM,RBOB Gasoline Apr,$3.16 ,"18,350",$3.18 ,$3.13 ,15-Mar-13,1:21pm,$3.14 
RBK13.NYM,RBOB Gasoline May,$3.15 ,"21,235",$3.16 ,$3.12 ,15-Mar-13,1:22pm,$3.13 
RBM13.NYM,RBOB Gasoline Jun,$3.10 ,"10,590",$3.12 ,$3.08 ,15-Mar-13,1:21pm,$3.09 
RBN13.NYM,RBOB Gasoline Jul,$3.06 ,"6,419",$3.07 ,$3.04 ,15-Mar-13,1:19pm,$3.04 
RBQ13.NYM,RBOB Gasoline Aug,$3.01 ,"3,913",$3.02 ,$2.99 ,15-Mar-13,12:57pm,$2.99 
RBU13.NYM,RBOB Gasoline Sep,$2.95 ,"3,224",$2.96 ,$2.94 ,15-Mar-13,1:09pm,$2.94 
RBV13.NYM,RBOB Gasoline Oct,$2.79 ,"1,685",$2.80 ,$2.78 ,15-Mar-13,1:05pm,$2.78 
RBX13.NYM,RBOB Gasoline Nov,$2.73 ,562,$2.73 ,$2.73 ,15-Mar-13,12:44pm,$2.73 
RBZ13.NYM,RBOB Gasoline Dec,$2.70 ,935,$2.72 ,$2.69 ,15-Mar-13,12:44pm,$2.70 
RBF14.NYM,RBOB Gasoline Jan,$2.67 ,180,$2.68 ,$2.66 ,15-Mar-13,11:41am,$2.68 
RBG14.NYM,RBOB Gasoline Feb,$2.69 ,107,$2.69 ,$2.69 ,15-Mar-13,11:41am,$2.67 
RBH14.NYM,RBOB Gasoline Mar,$2.67 ,30,$2.67 ,$2.65 ,15-Mar-13,12:44pm,$2.68 
