Symbol,Name,Price,Volume,Day Hi,Day Lo,Date,Time,Prev. Close
SBN13.NYB,Sugar #11 Jul 13,$18.90,"21,640",$19.00,$18.70,15-Mar-13,1:21pm,$18.80
SBV13.NYB,Sugar #11 Oct 13,$19.18,"11,129",$19.25,$18.98,15-Mar-13,1:22pm,$19.07
SBH14.NYB,Sugar #11 Mar 14,$19.96,"4,202",$20.00,$19.76,15-Mar-13,1:21pm,$19.84
SBK14.NYB,Sugar #11 May 14,$20.01,"1,006",$20.05,$19.88,15-Mar-13,1:17pm,$19.91
SBN14.NYB,Sugar #11 Jul 14,$20.09,774,$20.11,$19.99,15-Mar-13,1:11pm,$19.99
SBV14.NYB,Sugar #11 Oct 14,$20.21,499,$20.22,$20.12,15-Mar-13,1:11pm,$20.12
SBH15.NYB,Sugar #11 Mar 15,$20.43,110,$20.43,$20.34,15-Mar-13,1:11pm,$20.33
SBK15.NYB,Sugar #11 May 15,$20.35,9,$20.35,$20.34,15-Mar-13,1:11pm,$20.28
SBN15.NYB,Sugar #11 Jul 15,$20.32,3,$20.32,$20.32,15-Mar-13,1:06pm,$20.28
SBV15.NYB,Sugar #11 Oct 15,$20.37,1,$20.37,$20.19,15-Mar-13,1:06pm,$20.37
